Front,Back
My [[temper]] I shall keep in check.,"성질, 화
/ˈtɛmpər/, noun
내 화는 내가 가까스로 억누르겠다.
anger, irritation, disposition, mood
기질; (쇠를) 단련하다"
We cease with all the [[trifling]] down there.,"시시한 짓, 하찮은 일
/ˈtraɪflɪŋ/, noun
아래에서 하는 그런 시시한 짓은 이제 그만두자.
nonsense, frivolity, foolishness, triviality
trifle: 사소한 것; 하찮게 여기다"
I'm not in any mood to [[trifle with]] your father's nonsense.,"~을 하찮게 다루다, 함부로 건드리다
/ˈtraɪfəl wɪð/, verb
나는 네 아버지의 그 헛소리를 함부로 상대할 기분이 아니다.
toy with, tamper with, meddle with, make light of
~와 장난치다; 희롱하다"
An enormous [[Pact]] of Punishment hangs over the exit.,"협정, 약조
/pækt/, noun
거대한 벌의 약조가 출구 위에 걸려 있다.
agreement, compact, treaty, covenant
-"
We shall have to [[vanquish]] him without divine armor.,"무찌르다, 정복하다
/ˈvæŋkwɪʃ/, verb
우리는 신성한 갑옷 없이 그를 무찔러야 한다.
defeat, conquer, overcome, overpower
-"
Watch out for those weapon-[[wielding]] gents out there.,"(무기·권력을) 휘두르는
/ˈwiːldɪŋ/, adjective
저기 있는 무기를 휘두르는 녀석들을 조심해라.
armed, brandishing, handling, using
wield: (영향력 등을) 행사하다"
Is it to always [[slay]] you first?,"죽이다, 살해하다
/sleɪ/, verb
그 교훈이란 늘 너부터 먼저 죽이라는 뜻이냐?
kill, murder, butcher, dispatch
압도적으로 웃기다/매혹하다; 크게 성공하다"
I prefer to spend my time with my [[nymph]] friends in the woods.,"님프, 숲·물의 정령
/nɪmf/, noun
나는 숲에서 님프 친구들과 시간을 보내는 편을 더 좋아한다.
spirit, fairy, dryad, woodland deity
젊고 아름다운 여자; 곤충의 약충"
We have a [[splendid]] painting of you back at the House.,"아주 멋진, 훌륭한
/ˈsplɛndɪd/, adjective
우리 집에는 네 그림이 아주 멋지게 걸려 있지.
magnificent, excellent, marvelous, superb
화려한; 찬란한"
That is a handsome spear you [[doubtless]] claimed deceitfully.,"틀림없이, 의심할 여지 없이
/ˈdaʊtləs/, adverb
그건 네가 틀림없이 속임수로 손에 넣은 멋진 창이군.
certainly, surely, undoubtedly, no doubt
의심 없는, 확실한"
You look as though you withstood many [[foes]] this time.,"적, 적수
/foʊ/, noun
이번에는 네가 많은 적들을 버텨 낸 것처럼 보이는군.
enemy, adversary, opponent, rival
-"
You mustered a bunch of incompetent [[wretches]] to try to kill me.,"비열한 인간들, 불쌍한 자들
/rɛtʃ/, noun
당신은 나를 죽이려고 무능한 인간들을 떼로 끌어모았다.
scoundrels, villains, rogues, miserable creatures
-"
We could defeat this vile [[hellspawn]] without divine protection.,"지옥에서 난 놈, 악마 같은 자
/ˈhɛlspɔːn/, noun
우리는 신의 보호 없이도 이 사악한 지옥의 자식을 쓰러뜨릴 수 있다.
fiend, demon, monster, devil
-"
This [[blackguard]] thinks he can saunter in here bleeding profusely.,"비열한 악당
/ˈblæɡərd/, noun
이 비열한 악당이 피를 철철 흘리며 여기 들어와도 된다고 생각하는군.
scoundrel, rogue, villain, knave
욕설을 퍼붓다"
Perhaps you have defied me here in [[jest]].,"농담으로, 장난삼아
/dʒɛst/, noun
어쩌면 네가 여기서 나를 거스른 건 장난삼아서였을지도 모른다.
joke, fun, mockery, playfulness
농담하다; 놀리다"
"Even if you are able to [[surpass]] me, you shall still perish.","능가하다, 뛰어넘다
/sərˈpæs/, verb
네가 나를 능가할 수 있다 해도 결국 죽게 될 것이다.
exceed, outdo, eclipse, overtake
-"
I shall bring my worst [[wrath]] upon whoever is to blame.,"격노, 진노
/ræθ/, noun
나는 책임 있는 자에게 나의 최악의 분노를 쏟아붓겠다.
rage, fury, anger, indignation
-"
"Forget another something in my [[bedchambers]], there, Meg?","침실
/ˈbɛdˌtʃeɪmbərz/, noun
또 내 침실에 뭘 두고 갔나, 메그?
bedrooms, sleeping chambers, chambers
-"
You take that [[monstrous]] artifact for another friend?,"기괴한, 괴물 같은
/ˈmɑːnstrəs/, adjective
네가 그 기괴한 유물을 또 다른 친구로 여긴단 말이냐?
horrific, grotesque, terrifying, unnatural
엄청난, 거대한"
I [[scarce]] believe the Queen's preposterous idea worked.,"거의 ~하지 않다
/skɛrs/, adverb
여왕의 터무니없는 생각이 통했다니 나는 거의 믿기지 않는다.
hardly, scarcely, barely, scarcely ever
scarce: 부족한, 드문"
"If my foster-brother's [[tampered]] with the temperature, I'll cool things off.","함부로 손대다, 조작하다
/ˈtæmpər/, verb
내 의붓형제가 온도에 손을 댔다면 내가 식혀 놓겠다.
meddle, interfere, manipulate, tinker
(증거 등을) 변조하다"
I will inscribe a bit of [[parchment]] for your colleague.,"양피지
/ˈpɑːrtʃmənt/, noun
내가 네 동료를 위해 양피지 한 장에 글을 써 주지.
vellum, scroll, manuscript, skin
양피지 같은 질감의 종이"
It shall be both our skins if you are caught in one of your [[deceptions]].,"속임수, 기만
/dɪˈsɛpʃən/, noun
네 속임수 중 하나가 들통나면 우리 둘 다 큰일이다.
deceit, trickery, fraud, duplicity
-"
You'll simply [[perish]] when you cross that threshold there.,"죽다, 소멸하다
/ˈpɛrɪʃ/, verb
네가 저 경계를 넘는 순간 그저 죽게 될 뿐이다.
die, expire, succumb, pass away
썩다; 망하다"
His power has no [[sway]] with me.,"영향력, 지배력
/sweɪ/, noun
그의 힘은 내게 아무 영향력도 없다.
influence, control, pull, authority
흔들리다; 흔들다"
Sometimes I fear I shall develop some sort of [[grudging]] respect for you.,"못마땅하지만 억지로 인정하는
/ˈɡrʌdʒɪŋ/, adjective
가끔 나는 너를 못마땅해하면서도 어느 정도 존중하게 될까 두렵다.
reluctant, begrudging, unwilling, resentful
-"
Did [[perchance]] my Exalted brethren trouble your dark path?,"혹시, 어쩌면
/pərˈtʃæns/, adverb
혹시 나의 고결한 형제들이 네 어두운 길을 방해했느냐?
perhaps, maybe, possibly, conceivably
-"
He would [[sever]] the fraternal bonds we share.,"끊다, 단절시키다
/ˈsɛvər/, verb
그는 우리 사이의 형제 같은 유대를 끊어 놓으려 한다.
cut, split, break, detach
완전히 끝내다; 자르다"
That is a handsome spear from some more-worthy [[bearer]] than yourself.,"소지자, 지닌 사람
/ˈbɛrər/, noun
그건 너보다 더 자격 있는 소지자가 들었어야 할 멋진 창이다.
carrier, holder, possessor, wielder
운반인; 전달자"
"After we learned about your [[plight]], we rallied to assist you.","곤경, 딱한 처지
/plaɪt/, noun
우리는 네 곤경을 알고 나서 너를 돕기 위해 힘을 모았다.
predicament, difficulty, trouble, hardship
-"
The awesome [[bounty]] of the sea is yours to use as you please.,"풍요로움, 풍성한 수확
/ˈbaʊnti/, noun
바다의 풍요로움은 네가 마음대로 누릴 수 있다.
abundance, plenty, richness, generosity
현상금; 포상금"
Were you hunting [[vermin]] near the surface lately?,"해충, 유해 동물
/ˈvɝːmɪn/, noun
최근 지상 근처에서 해충 같은 놈들을 사냥하고 있었느냐?
pests, rodents, scavengers, parasites
인간 쓰레기들; 하찮은 인간들"
Whence did you steal that blade you're [[brandishing]] about?,"(무기 등을) 휘두르다, 내세우다
/ˈbrændɪʃ/, verb
네가 그 칼을 그렇게 휘두르고 다니는 걸 보니 대체 어디서 훔쳐 온 것이냐?
wave, flourish, wield, display
(주장·권리 등을) 과시하다"
The cold shall bring [[utter]] ruin on your enemies.,"완전한, 철저한
/ˈʌtər/, adjective
그 추위는 네 적들에게 완전한 파멸을 가져올 것이다.
complete, total, absolute, downright
말하다; 입 밖에 내다"
Observe the coat of bronze with which I am [[adorned]].,"꾸며진, 장식된
/əˈdɔːrnd/, adjective
내가 걸치고 있는 이 청동 갑옷을 보아라.
decorated, embellished, decked, ornamented
adorn: 꾸미다, 장식하다"
"I'm an Olympian, so I can [[posture]] with the best of them.","허세를 부리다, 과시하다
/ˈpɑːstʃər/, verb
나는 올림포스 신이니 그런 허세쯤은 누구 못지않게 부릴 수 있다.
pose, swagger, show off, grandstand
자세; 태세"
Maybe I just have a [[knack]] for proving everybody wrong.,"재주, 요령
/næk/, noun
아마 나는 모두가 틀렸다는 걸 증명하는 재주가 있는 모양이다.
talent, gift, aptitude, flair
-"
My brothers [[frolic]] on Olympus while we work.,"신나게 뛰놀다, 장난치며 놀다
/ˈfrɑːlɪk/, verb
우리가 일하는 동안 내 형제들은 올림포스에서 신나게 놀아 댄다.
play, romp, cavort, gambol
유쾌한 놀이; 장난"
I always figured that his [[brooding]] quality was just an act.,"침울하고 생각에 잠긴
/ˈbruːdɪŋ/, adjective
나는 그의 그런 침울한 분위기가 그저 연기인 줄만 알았다.
moody, gloomy, sullen, introspective
brood: 곰곰이 생각하다; 알을 품다"
The crops shall [[wither]] and decay so long as I may please.,"시들다, 쇠약해지다
/ˈwɪðər/, verb
내가 원하기만 하면 작물은 시들고 썩어 갈 것이다.
shrivel, fade, wilt, dry up
쇠퇴하다; 기가 꺾이다"
You would be wise to [[heed]] my words next time.,"주의 깊게 듣다, 유의하다
/hiːd/, verb
다음번에는 내 말을 새겨듣는 편이 현명할 것이다.
pay attention to, mind, listen to, observe
heed: 주의; 조심"
Athena has [[imparted]] you her wisdom.,"전하다, 부여하다
/ɪmˈpɑːrt/, verb
아테나가 네게 그녀의 지혜를 전해 주었구나.
convey, communicate, bestow, transmit
-"
I know you enjoy being responsible for my [[bloodshed]].,"유혈 사태, 피 흘림
/ˈblʌdˌʃɛd/, noun
네가 내 피를 흘리게 하는 데 책임이 있는 걸 즐긴다는 건 알고 있다.
carnage, slaughter, violence, gore
-"
This is such a treasure to [[behold]].,"바라보다, 보다
/bɪˈhoʊld/, verb
이건 바라보는 것만으로도 참 보물 같은 광경이다.
see, look upon, observe, gaze at
자, 보라"
We know only contempt for this foul [[daemon]].,"악령, 정령
/ˈdiːmən/, noun
우리는 이 사악한 악령에게 오직 경멸만 느낀다.
demon, spirit, fiend, apparition
-"
Unknown horrors lie [[shrouded]] beyond the boundary.,"가려져 있는, 감춰져 있는
/ˈʃraʊdɪd/, adjective
경계 너머에는 정체 모를 공포가 감춰져 있다.
veiled, concealed, obscured, hidden
shroud: 수의; 덮개; 감싸다"
I'm sure that [[keepsake]] will come in handy soon enough.,"기념품, 추억의 물건
/ˈkiːpˌseɪk/, noun
그 기념품은 머지않아 분명 요긴하게 쓰일 거다.
memento, souvenir, token, remembrance
-"
I've grown so used to [[ransacking]] your domain.,"샅샅이 뒤지다, 약탈하다
/ˈrænˌsæk/, verb
나는 네 영역을 샅샅이 뒤지는 데 너무 익숙해져 버렸다.
plunder, loot, raid, pillage
마구 뒤엎다; 철저히 수색하다"
"You've [[procured]] the Rod of Fishing, I detect.","입수하다, 조달하다
/prəˈkjʊr/, verb
네가 낚싯대를 손에 넣은 것 같구나.
obtain, acquire, secure, get
(매춘 등을) 알선하다"
They [[lavished]] praise on the champion after the battle.,"아낌없이 퍼붓다
/ˈlævɪʃ/, verb
그들은 전투 후 챔피언에게 찬사를 아낌없이 퍼부었다.
bestow, shower, heap, pour
호화로운; 사치스러운"
He asked for [[forgiveness]] after speaking in anger.,"용서
/fərˈɡɪvnəs/, noun
그는 화가 나서 말한 뒤 용서를 구했다.
pardon, mercy, absolution, clemency
-"
He changed the rules on a royal [[whim]].,"변덕, 즉흥적 생각
/wɪm/, noun
그는 왕 같은 변덕으로 규칙을 바꿔 버렸다.
caprice, impulse, fancy, notion
-"
Please [[acquaint]] me with the full situation.,"알게 하다, 숙지시키다
/əˈkweɪnt/, verb
상황 전부를 내게 알려 주시오.
familiarize, inform, apprise, introduce
익숙하게 하다"
Such petty anger is [[unbecoming]] of a queen.,"어울리지 않는, 품위 없는
/ˌʌnbɪˈkʌmɪŋ/, adjective
그런 하찮은 분노는 여왕답지 않다.
improper, undignified, unsuitable, unseemly
-"
Only a [[shred]] of hope remained after the defeat.,"한 조각, 아주 조금
/ʃrɛd/, noun
패배 후에는 희망이 한 조각만 남아 있었다.
fragment, scrap, bit, trace
갈가리 찢다"
The old lord remained [[obstinate]] despite every plea.,"완고한, 고집 센
/ˈɑːbstənət/, adjective
그 늙은 영주는 온갖 간청에도 완고했다.
stubborn, headstrong, inflexible, mulish
-"
They tried to [[circumvent]] the barrier instead of breaking it.,"우회하다, 교묘히 피하다
/ˌsɝːkəmˈvɛnt/, verb
그들은 장벽을 부수는 대신 우회하려 했다.
avoid, bypass, evade, skirt
(규칙 등을) 편법으로 회피하다"
She [[mustered]] the courage to speak at last.,"억지로 모으다, 끌어내다
/ˈmʌstər/, verb
그녀는 마침내 말할 용기를 끌어냈다.
gather, summon, collect, rally
집합시키다; 소집하다"
His [[boastful]] speeches only annoyed the crowd.,"자랑이 심한
/ˈboʊstfəl/, adjective
그의 자랑스러운 연설은 군중을 짜증 나게 할 뿐이었다.
bragging, vainglorious, swaggering, self-important
-"
He called it an [[ignoble]] way to win.,"비열한, 비천한
/ɪɡˈnoʊbəl/, adjective
그는 그것이 이기는 비열한 방식이라고 말했다.
dishonorable, base, shameful, mean
천한 출신의"
She [[spurned]] the offer without a second thought.,"거절하다, 퇴짜 놓다
/spɝːn/, verb
그녀는 두 번 생각도 하지 않고 제안을 거절했다.
reject, refuse, rebuff, dismiss
경멸하며 물리치다"
No feast could [[sate]] his hunger for glory.,"충분히 채우다, 만족시키다
/seɪt/, verb
어떤 연회도 영광에 대한 그의 갈망을 채울 수 없었다.
satisfy, fill, gratify, quench
질리게 하다"
I cannot [[abide]] such arrogance any longer.,"참다, 견디다
/əˈbaɪd/, verb
나는 더 이상 그런 오만함을 견딜 수 없다.
tolerate, endure, stand, bear
머무르다; 준수하다"
I [[daresay]] the queen already knows the truth.,"아마 ~일 것이다, 감히 말하건대
/ˌdɛrˈseɪ/, verb
아마 여왕은 이미 진실을 알고 있을 것이다.
suppose, imagine, presume, expect
-"
Dark [[tidings]] arrived before sunrise.,"소식, 전갈
/ˈtaɪdɪŋz/, noun
해가 뜨기 전에 어두운 소식이 도착했다.
news, word, report, message
-"
He seemed surprisingly [[amenable]] to the plan.,"기꺼이 따르는, 순순한
/əˈmiːnəbəl/, adjective
그는 그 계획에 놀랄 만큼 순순한 듯 보였다.
cooperative, compliant, willing, receptive
영향받기 쉬운"
The [[crusty]] old captain barked another order.,"까칠한, 퉁명스러운
/ˈkrʌsti/, adjective
그 까칠한 늙은 대장은 또 하나의 명령을 쏘아붙였다.
gruff, irritable, grouchy, crabby
겉이 딱딱한"
He tuned his [[lyre]] before beginning the song.,"리라
/ˈlaɪər/, noun
그는 노래를 시작하기 전에 리라의 음을 맞췄다.
harp, lute, instrument, strings
-"
A [[primordial]] force stirred beneath the earth.,"원초적인, 태초의
/praɪˈmɔːrdiəl/, adjective
태초의 힘이 땅 아래에서 꿈틀거렸다.
primal, ancient, original, primeval
-"
They felt an instant sense of [[kinship]].,"유대감, 친족 관계
/ˈkɪnʃɪp/, noun
그들은 즉각적인 유대감을 느꼈다.
affinity, closeness, relation, connection
-"
Your safe return will [[gladden]] her heart.,"기쁘게 하다
/ˈɡlædən/, verb
네가 무사히 돌아오면 그녀의 마음이 기뻐질 것이다.
cheer, delight, please, hearten
-"
The old [[custodian]] guarded the archive alone.,"관리인, 수호자
/kʌˈstoʊdiən/, noun
그 늙은 관리인은 기록 보관소를 홀로 지켰다.
guardian, keeper, caretaker, warden
-"
Every debt was recorded in the black [[ledger]].,"장부
/ˈlɛdʒər/, noun
모든 빚은 검은 장부에 기록되어 있었다.
record book, account book, register, log
원장"
He offered a cheap [[trinket]] as if it were treasure.,"싸구려 장식품, 자질구레한 물건
/ˈtrɪŋkɪt/, noun
그는 값싼 장식품을 마치 보물처럼 내밀었다.
bauble, knickknack, ornament, gewgaw
-"
Even silence felt lighter in her [[companionship]].,"동행, 벗됨
/kəmˈpænjənˌʃɪp/, noun
그녀와 함께 있으면 침묵조차 더 가볍게 느껴졌다.
company, fellowship, friendship, camaraderie
-"
You [[trespass]] here at your own risk.,"무단침입하다
/ˈtrɛspæs/, verb
너는 이곳에 네 위험을 감수하고 무단침입하고 있다.
intrude, encroach, invade, breach
침해하다; 무단침입"
The floor was covered in ash and [[filth]].,"오물, 더러움
/fɪlθ/, noun
바닥은 재와 오물로 뒤덮여 있었다.
dirt, grime, muck, squalor
추잡함; 음란물"
The machine was a smoking [[monstrosity]].,"흉물, 괴물 같은 것
/mɑnˈstrɑːsəti/, noun
그 기계는 연기를 내뿜는 흉물이었다.
abomination, horror, eyesore, freak
-"
He carried himself with a [[kingly]] calm.,"왕다운, 당당한
/ˈkɪŋli/, adjective
그는 왕다운 침착함으로 몸가짐을 유지했다.
royal, regal, majestic, noble
왕의"
Few walls can [[withstand]] that much force.,"견뎌 내다
/wɪðˈstænd/, verb
그 정도 힘을 견뎌 낼 수 있는 벽은 거의 없다.
endure, resist, survive, tolerate
-"
A [[hideous]] cry echoed through the hall.,"소름 끼치게 흉측한
/ˈhɪdiəs/, adjective
흉측한 비명이 홀 안에 울려 퍼졌다.
ghastly, gruesome, horrible, ugly
끔찍하게 불쾌한"
I cannot [[fathom]] why he returned.,"이해하다
/ˈfæðəm/, verb
나는 그가 왜 돌아왔는지 이해할 수 없다.
understand, grasp, comprehend, figure out
깊이를 재다"
The prince was too [[prideful]] to apologize.,"자존심이 지나치게 강한, 거만한
/ˈpraɪdfəl/, adjective
그 왕자는 너무 거만해서 사과하지 못했다.
arrogant, haughty, vain, conceited
-"
He swore [[vengeance]] on those who betrayed him.,"복수
/ˈvɛndʒəns/, noun
그는 자신을 배신한 자들에게 복수를 맹세했다.
revenge, retribution, retaliation, payback
-"
It was a [[dreary]] road through the marsh.,"음울한, 쓸쓸한
/ˈdrɪri/, adjective
그것은 늪을 가로지르는 음울한 길이었다.
gloomy, bleak, dull, depressing
따분한"
He barked at every trembling [[underling]].,"부하, 졸개
/ˈʌndərlɪŋ/, noun
그는 떨고 있는 모든 부하에게 고함을 질렀다.
subordinate, minion, lackey, assistant
-"
They agreed to [[waive]] the fee this once.,"면제하다, 포기하다
/weɪv/, verb
그들은 이번 한 번만 수수료를 면제해 주기로 했다.
forgo, relinquish, drop, cancel
유예하다"
He would [[sulk]] for days after a slight.,"토라져 있다, 부루퉁해하다
/sʌlk/, verb
그는 조금만 무시당해도 며칠씩 토라져 있었다.
mope, pout, brood, fume
sulk: 토라진 태도"
The beast withdrew to its [[lair]] at dusk.,"소굴, 은신처
/lɛr/, noun
그 짐승은 해 질 무렵 자기 소굴로 물러났다.
den, hideout, nest, cave
-"
No one should [[abet]] such treachery.,"부추기다, 방조하다
/əˈbɛt/, verb
그런 배신을 방조해서는 안 된다.
aid, assist, support, encourage
-"
A [[crimson]] glow spread across the clouds.,"진홍색의
/ˈkrɪmzən/, adjective
진홍빛 광채가 구름 사이로 번졌다.
scarlet, deep red, ruby, blood-red
진홍색"
A [[sinister]] smile crossed his face.,"불길한, 사악한
/ˈsɪnɪstər/, adjective
그의 얼굴에 불길한 미소가 스쳤다.
ominous, menacing, evil, threatening
왼쪽의"
The hall was filled with music and [[festivity]].,"축제 분위기, 축하 행사
/fɛˈstɪvəti/, noun
홀은 음악과 축제 분위기로 가득 차 있었다.
celebration, merriment, revelry, gaiety
-"
He continued to [[prattle]] while others worked.,"재잘거리다, 종알거리다
/ˈprætl/, verb
다른 이들이 일하는 동안에도 그는 계속 종알거렸다.
babble, chatter, ramble, blather
prattle: 허튼소리"
His smug grin was absolutely [[insufferable]].,"참을 수 없는
/ɪnˈsʌfərəbəl/, adjective
그의 잘난 체하는 미소는 정말 참을 수 없었다.
intolerable, unbearable, impossible, obnoxious
-"
A cold light seemed to [[emanate]] from the stone.,"발산되다, 나오다
/ˈɛməˌneɪt/, verb
차가운 빛이 그 돌에서 뿜어져 나오는 듯했다.
radiate, issue, emerge, flow
-"
"That is a [[preposterous]] excuse, and you know it.","터무니없는
/prɪˈpɑːstərəs/, adjective
그건 터무니없는 변명이고, 너도 그걸 알고 있다.
absurd, ridiculous, ludicrous, outrageous
-"
The long climb became an [[ordeal]] by nightfall.,"시련, 고된 경험
/ɔːrˈdiːl/, noun
긴 등반은 해질 무렵엔 하나의 시련이 되었다.
trial, hardship, torment, tribulation
-"
She offered a [[cunning]] plan that spared them time.,"교묘한, 영리한
/ˈkʌnɪŋ/, adjective
그녀는 시간을 아껴 주는 교묘한 계획을 내놓았다.
clever, crafty, sly, ingenious
교활함"
Questions about his [[parentage]] never truly ceased.,"혈통, 출신
/ˈpɛrəntɪdʒ/, noun
그의 혈통에 대한 의문은 결코 완전히 사라지지 않았다.
lineage, ancestry, descent, origin
-"
"It was a [[shrewd]] bargain, though not a kind one.","약삭빠른, 예리한
/ʃruːd/, adjective
그건 친절하진 않았지만 약삭빠른 거래였다.
astute, sharp, canny, savvy
-"
Trust cannot last without [[reciprocity]].,"상호성, 호혜
/ˌrɛsəˈprɑːsəti/, noun
상호성이 없으면 신뢰는 오래가지 못한다.
mutuality, exchange, give-and-take, cooperation
-"
The queen was [[gracious]] even in refusal.,"상냥한, 품위 있는
/ˈɡreɪʃəs/, adjective
여왕은 거절하는 순간에도 품위 있었다.
courteous, kind, elegant, considerate
고마운; 자비로운"
The storm grew more [[relentless]] by the hour.,"끈질긴, 가차 없는
/rɪˈlɛntləs/, adjective
폭풍은 시간이 갈수록 더 가차 없어졌다.
merciless, unyielding, persistent, unremitting
-"
A curtain of rain seemed to [[veil]] the mountain.,"가리다, 감추다
/veɪl/, verb
빗장막이 산을 가리는 듯했다.
cover, conceal, obscure, shroud
베일"
The old god chose to [[dwell]] far from the court.,"살다, 머무르다
/dwɛl/, verb
그 늙은 신은 궁정에서 멀리 떨어져 살기로 했다.
live, reside, remain, stay
곰곰이 생각하다"
At least have the [[decency]] to tell the truth.,"최소한의 예의, 도리
/ˈdiːsənsi/, noun
적어도 진실을 말할 최소한의 도리는 지켜라.
courtesy, propriety, respect, civility
품위; 점잖음"
He could not help but [[gloat]] after the easy victory.,"의기양양해하다
/ɡloʊt/, verb
그는 손쉬운 승리 뒤에 의기양양해하지 않을 수 없었다.
crow, brag, boast, rejoice
-"
Something felt [[amiss]] the moment she entered.,"이상한, 잘못된
/əˈmɪs/, adjective
그녀가 들어서는 순간 뭔가 잘못됐다는 느낌이 들었다.
wrong, off, awry, out of place
-"
I could barely [[discern]] his figure in the mist.,"알아보다, 식별하다
/dɪˈsɝːn/, verb
나는 안개 속에서 그의 모습을 간신히 알아볼 수 있었다.
detect, distinguish, recognize, perceive
분별하다"
They crossed [[innumerable]] chambers before dawn.,"셀 수 없이 많은
/ɪˈnuːmərəbəl/, adjective
그들은 새벽 전에 셀 수 없이 많은 방을 지나갔다.
countless, myriad, numerous, untold
-"
Only a [[fiend]] would enjoy such cruelty.,"악마 같은 자
/fiːnd/, noun
그런 잔혹함을 즐길 자는 악마 같은 놈뿐이다.
monster, demon, brute, devil
광적인 애호가"
Circumstances [[oblige]] us to act at once.,"어쩔 수 없이 ~하게 하다
/əˈblaɪdʒ/, verb
사정상 우리는 즉시 행동해야 한다.
compel, force, require, constrain
호의를 베풀다"
You cannot [[defy]] the order forever.,"거역하다, 무시하다
/dɪˈfaɪ/, verb
너는 그 명령을 영원히 거역할 수는 없다.
resist, challenge, disobey, oppose
(설명 등을) 불가능하게 하다"
They swore to [[uphold]] the ancient law.,"지키다, 유지하다
/ʌpˈhoʊld/, verb
그들은 고대의 법을 지키겠다고 맹세했다.
maintain, support, preserve, sustain
떠받치다"
"The bargain was not ideal, but it seemed [[agreeable]] enough.","받아들일 만한, 순한
/əˈɡriːəbəl/, adjective
그 거래는 완벽하진 않았지만 받아들일 만해 보였다.
pleasant, acceptable, satisfactory, willing
잘 맞는; 상냥한"
He would not [[indulge]] their petty complaints.,"받아주다, 응해 주다
/ɪnˈdʌldʒ/, verb
그는 그들의 하찮은 불평을 받아주지 않으려 했다.
yield to, humor, grant, satisfy
탐닉하다"
I must [[commend]] your courage under pressure.,"칭찬하다
/kəˈmɛnd/, verb
압박 속에서도 보인 네 용기는 칭찬할 만하다.
praise, applaud, admire, compliment
추천하다; 맡기다"
Only the queen may [[authorize]] that request.,"승인하다
/ˈɔːθəˌraɪz/, verb
그 요청을 승인할 수 있는 사람은 여왕뿐이다.
approve, permit, sanction, allow
권한을 부여하다"
She chose to [[dedicate]] her strength to the House.,"바치다, 헌신하다
/ˈdɛdəˌkeɪt/, verb
그녀는 자신의 힘을 하우스에 바치기로 했다.
devote, commit, assign, pledge
헌정하다"
The hound turned with a [[vicious]] snarl.,"사나운, 악랄한
/ˈvɪʃəs/, adjective
그 사냥개는 사나운 으르렁거림과 함께 돌아섰다.
ferocious, savage, brutal, nasty
악순환적인"
The guard seized the hidden [[contraband]].,"밀수품, 금지 물품
/ˈkɑːntrəˌbænd/, noun
경비병은 숨겨 둔 금지 물품을 압수했다.
smuggled goods, illicit goods, illegal cargo, prohibited items
-"
Her calm [[countenance]] never changed.,"표정, 얼굴빛
/ˈkaʊntənəns/, noun
그녀의 차분한 얼굴빛은 전혀 바뀌지 않았다.
face, expression, visage, mien
용인하다"
The old [[prophecy]] returned to haunt them.,"예언
/ˈprɑːfəsi/, noun
오래된 예언이 다시 그들을 괴롭히기 시작했다.
prediction, forecast, oracle, augury
-"
An [[unseen]] presence followed them through the dark.,"보이지 않는
/ˌʌnˈsiːn/, adjective
보이지 않는 존재가 어둠 속에서 그들을 따라왔다.
invisible, hidden, unnoticed, concealed
미지의"
